1558103966.441:505904298,91EF8875-78B1-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,B8FFD54B-E634-C156-B4E6-8D03E6C1084F,scp -r /tmp/grains /tmp/hsperfdata_darpa /tmp/jna-95354950 /tmp/minion /tmp/nodeexporter /tmp/resource-2679455198775069532 /tmp/resource-3259361836296904187 /tmp/tmux-0 admin@128.55.12.77:.,ta1-cadets-2
1558103965.991:505903928,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,281785AC-CC65-AD55-A5CC-8BDD75AD1003,/usr/lib/pam_opie.so.6,ta1-cadets-2
1558103965.991:505903927,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,0E8027DC-7002-155E-8270-8A3CAE153B5B,/etc/pam.d/sshd,ta1-cadets-2
1558103965.871:505903926,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,FORK,91991C4D-78B1-11E9-B41B-D4AE52C1DBD3,null,ta1-cadets-2
1558103965.871:505903916,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,D1042279-ADA7-1A51-A7AD-427D911A1470,/etc/hosts.allow,ta1-cadets-2
1558103965.871:505903911,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,CONNECT,91989194-78B1-11E9-B41B-D4AE52C1DBD3,128.55.12.10:53,ta1-cadets-2
1558103965.871:505903909,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,373D02C0-A81B-7D54-9BA8-F181547DCBCF,/etc/hosts,ta1-cadets-2
1558103965.871:505903905,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,556CE3B4-9A31-195B-B19A-0A5F7B1937EB,/usr/lib/libgssapi_spnego.so.10,ta1-cadets-2
1558103965.871:505903903,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,9F9AEA69-4556-F35D-9645-7D751DF345F6,/usr/lib/libgssapi_krb5.so.10,ta1-cadets-2
1558103965.871:505903902,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,421A0178-300D-0D55-8D30-E335D50D999D,/etc/gss/mech,ta1-cadets-2
1558103965.871:505903900,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,D4502939-F856-7C59-96F8-2268B97CCB31,/etc/resolv.conf,ta1-cadets-2
1558103965.871:505903896,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,1633500B-D34B-8058-8BD3-ABB7D880915E,/dev/null,ta1-cadets-2
1558103965.871:505903890,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,70416923-0B7F-3258-BF0B-9FDAF8329E70,/etc/ssh/ssh_host_ed25519_key.pub,ta1-cadets-2
1558103965.871:505903888,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,6D53A12C-D093-6C5C-93D0-7616BC6CD4D2,/etc/ssh/ssh_host_ed25519_key,ta1-cadets-2
1558103965.871:505903886,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,6D53A12C-D093-6C5C-93D0-7616BC6CD4D2,/etc/ssh/ssh_host_ed25519_key,ta1-cadets-2
1558103965.871:505903884,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,591B6D97-AB8A-C752-8AAB-31CA42C79B37,/etc/ssh/ssh_host_ecdsa_key.pub,ta1-cadets-2
1558103965.861:505903882,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,10274AC1-C8F7-E455-B7C8-5354A5E47FF1,/etc/ssh/ssh_host_ecdsa_key,ta1-cadets-2
1558103965.861:505903880,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,10274AC1-C8F7-E455-B7C8-5354A5E47FF1,/etc/ssh/ssh_host_ecdsa_key,ta1-cadets-2
1558103965.861:505903878,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,9B987587-DCB5-295E-B5DC-5F4B2E292E34,/etc/ssh/ssh_host_rsa_key.pub,ta1-cadets-2
1558103965.861:505903876,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,45FA8B1C-1628-D459-A816-202B49D415DC,/etc/ssh/ssh_host_rsa_key,ta1-cadets-2
1558103965.861:505903874,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,45FA8B1C-1628-D459-A816-202B49D415DC,/etc/ssh/ssh_host_rsa_key,ta1-cadets-2
1558103965.861:505903865,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,READ,BE5788E9-3A56-6556-963A-148E16650E31,/etc/spwd.db,ta1-cadets-2
1558103965.861:505903862,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,816E6A3D-1172-585C-B211-BC4D3C585A59,/etc/nsswitch.conf,ta1-cadets-2
1558103965.861:505903858,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,653D8CCE-2987-A95B-8729-8875CBA92F9C,/etc/ssl/openssl.cnf,ta1-cadets-2
1558103965.861:505903856,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,B1E1F342-C4A9-8950-A9C4-792D4089BF48,/lib/libcrypto.so.111,ta1-cadets-2
1558103965.861:505903854,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,1633500B-D34B-8058-8BD3-ABB7D880915E,/dev/null,ta1-cadets-2
1558103965.861:505903850,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,F410BE96-4C0C-765E-8C4C-6F0E2E760020,/dev/hpet0,ta1-cadets-2
1558103965.851:505903825,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,A9331079-AB10-8656-90AB-7E5E76860DF4,/usr/lib/libssl.so.111,ta1-cadets-2
1558103965.851:505903823,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,7A8124B7-1BFA-AB51-BA1B-D766A1AB156B,/usr/lib/libprivateheimipcc.so.11,ta1-cadets-2
1558103965.851:505903821,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,547BF4B0-6304-7B53-8463-B496937BC4A2,/usr/lib/libheimbase.so.11,ta1-cadets-2
1558103965.851:505903819,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,45FB0EE9-473E-665D-BE47-E6306D6603D7,/usr/lib/libwind.so.11,ta1-cadets-2
1558103965.851:505903817,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,A463D3C4-F4D6-2E5A-96F4-6B055A2EB379,/usr/lib/libhx509.so.11,ta1-cadets-2
1558103965.851:505903815,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,C9553E40-617E-B258-BE61-2E6188B2F3F4,/usr/lib/libcom_err.so.5,ta1-cadets-2
1558103965.851:505903813,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,3C08BE34-5951-6850-9159-659CF0681915,/usr/lib/libasn1.so.11,ta1-cadets-2
1558103965.851:505903811,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,1BFC813E-DE27-E357-A7DE-CF04C7E3CE67,/usr/lib/libroken.so.11,ta1-cadets-2
1558103965.851:505903809,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,DBE56166-8DF5-D156-B58D-41C346D11FAC,/lib/libthr.so.3,ta1-cadets-2
1558103965.851:505903807,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,91258993-B942-C35D-82B9-25794DC34401,/lib/libz.so.6,ta1-cadets-2
1558103965.851:505903805,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,72F1B0DA-370B-B850-8B37-097B90B864E6,/lib/libcrypt.so.5,ta1-cadets-2
1558103965.851:505903803,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,BC36EE8E-0BE3-DE50-A30B-67ADE0DECCE1,/usr/lib/libprivateldns.so.5,ta1-cadets-2
1558103965.851:505903801,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,680AFF23-5240-8954-8052-DB7044890360,/lib/libc.so.7,ta1-cadets-2
1558103965.851:505903799,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,B1E1F342-C4A9-8950-A9C4-792D4089BF48,/lib/libcrypto.so.111,ta1-cadets-2
1558103965.851:505903797,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,77FF0EE8-CE75-A759-B5CE-26AD59A71AB0,/usr/lib/libwrap.so.6,ta1-cadets-2
1558103965.851:505903795,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,F381167E-9787-A65F-8797-DAE93FA6C677,/usr/lib/libkrb5.so.11,ta1-cadets-2
1558103965.851:505903793,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,23AE53AA-475A-775A-9A47-37F3AA772422,/usr/lib/libgssapi.so.10,ta1-cadets-2
1558103965.851:505903791,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,9F9AEA69-4556-F35D-9645-7D751DF345F6,/usr/lib/libgssapi_krb5.so.10,ta1-cadets-2
1558103965.851:505903789,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,7BB898FC-A586-1E5C-86A5-A7054C1E3DC4,/usr/lib/libblacklist.so.0,ta1-cadets-2
1558103965.851:505903787,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,587E67A7-39FE-6E5B-BE39-C7D97B6ECB13,/usr/lib/libbsm.so.3,ta1-cadets-2
1558103965.851:505903785,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,AFF42659-F08F-5F51-8FF0-EB8B315F0779,/lib/libutil.so.9,ta1-cadets-2
1558103965.851:505903783,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,403C38D2-1E20-5058-A01E-5AD9B850311F,/usr/lib/libprivatessh.so.5,ta1-cadets-2
1558103965.851:505903781,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,E1ACD559-0CD9-5357-990C-2891875394A8,/usr/lib/libpam.so.6,ta1-cadets-2
1558103965.851:505903779,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,READ,738B7C9F-D3EE-6A5F-AED3-FF407F6A7609,/var/run/ld-elf.so.hints,ta1-cadets-2
1558103965.851:505903776,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,OPEN,908C1871-9556-355C-9695-1D084C35A52A,/etc/libmap.conf,ta1-cadets-2
1558103965.851:505903775,9194E17A-78B1-11E9-B41B-D4AE52C1DBD3:sshd,EXECUTE,33B6DB1F-890B-215D-8B89-5E53ED2177B7,/usr/sbin/sshd -R,ta1-cadets-2
1558103963.571:505902760,9039AFB5-78B1-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,8FA40B6F-BAF5-AF51-B5BA-4F9291AFCEAC,whoami,ta1-cadets-2
1558103963.571:505902759,903996B3-78B1-11E9-B41B-D4AE52C1DBD3:bash,FORK,9039AFB5-78B1-11E9-B41B-D4AE52C1DBD3,bash,ta1-cadets-2
1558103932.670:505842096,7DCDCB1B-78B1-11E9-B129-6C2B597E484C:bash,EXECUTE,B8FFD54B-E634-C156-B4E6-8D03E6C1084F,scp -r -t ./work/,ta1-cadets-3
1558103932.670:505842039,7DCDCB1B-78B1-11E9-B129-6C2B597E484C:sshd,EXECUTE,DC93405E-EB5D-E654-9DEB-281F44E63AD8,bash -c scp -r -t ./work/,ta1-cadets-3
1558103738.361:505531444,09FBF9EB-78B1-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,B8FFD54B-E634-C156-B4E6-8D03E6C1084F,scp -r -t ./docs/,ta1-cadets-2
1558103738.351:505531069,09FBF9EB-78B1-11E9-B41B-D4AE52C1DBD3:sshd,EXECUTE,DC93405E-EB5D-E654-9DEB-281F44E63AD8,bash -c scp -r -t ./docs/,ta1-cadets-2
1558103670.349:505386995,E1735B50-78B0-11E9-A28B-D4AE52C1DBD3:bash,EXECUTE,8FA40B6F-BAF5-AF51-B5BA-4F9291AFCEAC,whoami,ta1-cadets-1
1558103670.349:505386994,E1733E5D-78B0-11E9-A28B-D4AE52C1DBD3:bash,FORK,E1735B50-78B0-11E9-A28B-D4AE52C1DBD3,bash,ta1-cadets-1
1558103669.699:505385245,E10E63E1-78B0-11E9-A28B-D4AE52C1DBD3:bash,EXECUTE,B8FFD54B-E634-C156-B4E6-8D03E6C1084F,scp -r -d -t .,ta1-cadets-1
1558103669.689:505385188,E10E63E1-78B0-11E9-A28B-D4AE52C1DBD3:sshd,EXECUTE,DC93405E-EB5D-E654-9DEB-281F44E63AD8,bash -c scp -r -d -t .,ta1-cadets-1
1558103668.799:505383605,E086A619-78B0-11E9-A28B-D4AE52C1DBD3:bash,EXECUTE,B8FFD54B-E634-C156-B4E6-8D03E6C1084F,scp -r /tmp/grains /tmp/hsperfdata_darpa /tmp/jna-95354950 /tmp/minion /tmp/nodeexporter /tmp/resource-2679455198775069532 /tmp/resource-3259361836296904187 /tmp/tmux-0 /tmp/tmux-1001 admin@128.55.12.51:.,ta1-cadets-1
1558103668.799:505383604,E07139C6-78B0-11E9-A28B-D4AE52C1DBD3:bash,FORK,E086A619-78B0-11E9-A28B-D4AE52C1DBD3,bash,ta1-cadets-1
1558103668.659:505382861,E07139C6-78B0-11E9-A28B-D4AE52C1DBD3:sshd,EXECUTE,DC93405E-EB5D-E654-9DEB-281F44E63AD8,-bash,ta1-cadets-1
1558103661.071:505370757,DBEBC83F-78B0-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,8FA40B6F-BAF5-AF51-B5BA-4F9291AFCEAC,whoami,ta1-cadets-2
1558103661.071:505370584,DBEBB0A2-78B0-11E9-B41B-D4AE52C1DBD3:bash,FORK,DBEBC83F-78B0-11E9-B41B-D4AE52C1DBD3,bash,ta1-cadets-2
1558103596.968:505285700,B5B6CC30-78B0-11E9-A28B-D4AE52C1DBD3:bash,EXECUTE,8FA40B6F-BAF5-AF51-B5BA-4F9291AFCEAC,whoami,ta1-cadets-1
1558103596.968:505285699,B5B6B0FC-78B0-11E9-A28B-D4AE52C1DBD3:bash,FORK,B5B6CC30-78B0-11E9-A28B-D4AE52C1DBD3,bash,ta1-cadets-1
1558103557.151:505239859,9DFB4084-78B0-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,8FA40B6F-BAF5-AF51-B5BA-4F9291AFCEAC,whoami,ta1-cadets-2
1558103557.151:505239858,9DFB257A-78B0-11E9-B41B-D4AE52C1DBD3:bash,FORK,9DFB4084-78B0-11E9-B41B-D4AE52C1DBD3,bash,ta1-cadets-2
1558103502.600:505141124,7D77D95B-78B0-11E9-B129-6C2B597E484C:bash,EXECUTE,588E0C7A-F996-4D59-96F9-E63F194DA5E2,ps,ta1-cadets-3
1558103502.600:505140695,74CD4974-78B0-11E9-B129-6C2B597E484C:bash,FORK,7D77D95B-78B0-11E9-B129-6C2B597E484C,bash,ta1-cadets-3
1558103498.500:505138419,7B055C4A-78B0-11E9-B129-6C2B597E484C:bash,EXECUTE,588E0C7A-F996-4D59-96F9-E63F194DA5E2,ps,ta1-cadets-3
1558103498.500:505138360,74CD4974-78B0-11E9-B129-6C2B597E484C:bash,FORK,7B055C4A-78B0-11E9-B129-6C2B597E484C,bash,ta1-cadets-3
1558103494.390:505135110,7892FD4F-78B0-11E9-B129-6C2B597E484C:bash,EXECUTE,8FA40B6F-BAF5-AF51-B5BA-4F9291AFCEAC,whoami,ta1-cadets-3
1558103494.390:505135062,74CD4974-78B0-11E9-B129-6C2B597E484C:bash,FORK,7892FD4F-78B0-11E9-B129-6C2B597E484C,bash,ta1-cadets-3
1558103491.290:505133280,76B8AA74-78B0-11E9-B129-6C2B597E484C:bash,EXECUTE,EB3C59D2-D408-C758-88D4-48C2F8C7517B,hostname,ta1-cadets-3
1558103491.280:505132958,74CD4974-78B0-11E9-B129-6C2B597E484C:bash,FORK,76B8AA74-78B0-11E9-B129-6C2B597E484C,bash,ta1-cadets-3
1558103488.070:505129662,74CD4974-78B0-11E9-B129-6C2B597E484C:sshd,EXECUTE,DC93405E-EB5D-E654-9DEB-281F44E63AD8,-bash,ta1-cadets-3
1558103333.481:504737776,18A97F62-78B0-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,EB3C59D2-D408-C758-88D4-48C2F8C7517B,hostname,ta1-cadets-2
1558103332.511:504737444,1815CA8E-78B0-11E9-B41B-D4AE52C1DBD3:bash,EXECUTE,588E0C7A-F996-4D59-96F9-E63F194DA5E2,ps -aux,ta1-cadets-2
1558103332.511:504737385,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,FORK,1815CA8E-78B0-11E9-B41B-D4AE52C1DBD3,bash,ta1-cadets-2
1558103327.030:504737357,03099133-78B0-11E9-B129-6C2B597E484C:make,READ,7451CBC0-4756-3950-9647-611C60395533,/tmp//makegX6vqi,ta1-cadets-3
1558103331.261:504729976,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,FORK,17577BE4-78B0-11E9-B41B-D4AE52C1DBD3,null,ta1-cadets-2
1558103331.271:504729953,17577BE4-78B0-11E9-B41B-D4AE52C1DBD3:cat,READ,373D02C0-A81B-7D54-9BA8-F181547DCBCF,/etc/hosts,ta1-cadets-2
1558103324.150:504729851,1319704D-78B0-11E9-B129-6C2B597E484C:sh,READ,A7C0B6CE-C649-5C51-89C6-9308515CF876,/var/run/ld-elf.so.hints,ta1-cadets-3
1558103326.841:504723978,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,F1E83DAF-3FB1-C450-B13F-667D90C4A3B5,/home/admin/.bash_history,ta1-cadets-2
1558103326.841:504723974,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,F1E83DAF-3FB1-C450-B13F-667D90C4A3B5,/home/admin/.bash_history,ta1-cadets-2
1558103326.841:504723971,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,FORK,14B4535A-78B0-11E9-B41B-D4AE52C1DBD3,null,ta1-cadets-2
1558103326.841:504723970,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,FORK,14B3DD22-78B0-11E9-B41B-D4AE52C1DBD3,null,ta1-cadets-2
1558103326.831:504723968,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,2098A5AB-8D2C-3454-AC8D-5EBC2434AD08,/home/admin/.profile,ta1-cadets-2
1558103326.831:504723965,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,9A5D9EB6-F5DD-9C57-9DF5-E29C679C4DC3,/etc/profile,ta1-cadets-2
1558103326.831:504723959,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,4F68FD9F-F710-3758-90F7-87E53837B0F3,/usr/share/misc/termcap.db,ta1-cadets-2
1558103326.831:504723946,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,15D7DD48-70AF-7657-AF70-1CEF4776FAB6,/etc/pwd.db,ta1-cadets-2
1558103322.020:504723721,11D3F835-78B0-11E9-B129-6C2B597E484C:sh,READ,3316E533-7A07-0F52-877A-2B9E220F9C8A,/lib/libncursesw.so.8,ta1-cadets-3
1558103326.831:504723256,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,816E6A3D-1172-585C-B211-BC4D3C585A59,/etc/nsswitch.conf,ta1-cadets-2
1558103326.831:504723253,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,OPEN,ED281817-20F6-7E52-B620-7E7B827E05AF,/dev/tty,ta1-cadets-2
1558103326.831:504723248,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,OPEN,F410BE96-4C0C-765E-8C4C-6F0E2E760020,/dev/hpet0,ta1-cadets-2
1558103326.831:504723234,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,OPEN,680AFF23-5240-8954-8052-DB7044890360,/lib/libc.so.7,ta1-cadets-2
1558103326.831:504723224,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,OPEN,970A4F19-8EB0-BA55-B08E-91C775BA02B5,/usr/lib/libdl.so.1,ta1-cadets-2
1558103326.831:504723214,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,OPEN,7E48A854-81F9-5754-B981-FDA0F457BA6C,/usr/local/lib/libintl.so.8,ta1-cadets-2
1558103326.831:504723204,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,OPEN,FB9FD49A-C575-DA5B-B5C5-11966BDA15C8,/lib/libncurses.so.8,ta1-cadets-2
1558103326.831:504723201,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,738B7C9F-D3EE-6A5F-AED3-FF407F6A7609,/var/run/ld-elf.so.hints,ta1-cadets-2
1558103326.831:504723198,14B1BEB3-78B0-11E9-B41B-D4AE52C1DBD3:bash,READ,908C1871-9556-355C-9695-1D084C35A52A,/etc/libmap.conf,ta1-cadets-2
