host,stage,source,threat_Score
cadets,1,wget:73BA0290-39E1-11E8-B8CE-15D78AC88FB6,679.5043752480085
cadets,1,wget:7EF1A57D-39A9-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:859E2771-39A5-11E8-BF66-D9AA8AFF4A69,10.717734625362931
cadets,1,wget:882934C8-39D9-11E8-B8CE-15D78AC88FB6,19.291922325653275
cadets,1,wget:8EE37B83-39A8-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:A6F7C1BE-39EE-11E8-B8CE-15D78AC88FB6,15.004828475508104
cadets,1,wget:AB8A00C0-39B2-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:BDA11943-3A02-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:C04FCF96-39AB-11E8-BF66-D9AA8AFF4A69,13099.215259117405
cadets,1,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,17.14837540058069
cadets,1,wget:C2C3CE53-39A9-11E8-BF66-D9AA8AFF4A69,15.004828475508104
cadets,1,wget:C571CBA6-39D8-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:C5C42F49-39C6-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,225.07242713262204
cadets,1,wget:EDDB24CC-3903-11E8-BF66-D9AA8AFF4A69,10.717734625362931
cadets,1,wget:FFCB6EDF-39B3-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,4,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,61.43017533237657
cadets,4,vUgefal:D3822AFC-39AF-11E8-BF66-D9AA8AFF4A69,36.85810519942594
cadets,4,wget:06687053-39DF-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:38D870A9-39D4-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:882934C8-39D9-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:A6F7C1BE-39EE-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,7,nginx:674D8313-390A-11E8-BF66-D9AA8AFF4A69,42.06172903688631
